Tender Reference,Particulars,Contractor(s),Amount,Contract Award Date
A0600622024,Provision of security guard services for the Government Logistics Centre of the Government Logistics Department,Wyson Security Services Limited,"HK$9,102,384.00 ",27-Jun-25
AD200782023,Supply of tactical buses to the Electrical and Mechanical Services Trading Fund,Zung Fu Company Limited,"HK$134,621,800.00 F.I.S./Hong Kong",7-Mar-25
A9900062025,Supply of liquid soap to various Government departments,Artec Chemical Company Limited,"HK$5,016,000.00 F.I.S./Hong Kong",6-Oct-25
A7600712024,Supply of sulphate of alumina to the Water Supplies Department,Bai He Long Limited,"HK$101,139,714.54 F.I.S./Hong Kong",24-Oct-25
A0100172024,Supply and installation of town gas water heaters with flue pipes to the Government Property Agency,Energy Trading Company Limited,"HK$15,375,000.00 ",24-Jun-25
A9900802024,Supply of bottled drinking water to various Government departments,"Xin Ding Xin Trade Co., Limited","HK$52,940,000.00 F.I.S./Hong Kong",26-Jun-25
A9900802024,Supply of bottled drinking water to various Government departments,Professional Trade International Limited,"HK$65,494,000.00 F.I.S./Hong Kong",26-Jun-25
A9900802024,Supply of bottled drinking water to various Government departments,AS Watson Group (HK) Limited,"HK$47,623,800.00 F.I.S./Hong Kong",26-Jun-25
A2900462024,Supply of computer software licences to the Judiciary,Innovation Systems Group Limited,"HK$18,223,200.00 F.I.S./Hong Kong",6-Aug-25
A9900312024,Provision of multi-purpose cars (self-drive) for hiring by various Government departments,Fu Team Transport Company Limited,Not applicable,6-Jun-25
A9900312024,Provision of multi-purpose cars (self-drive) for hiring by various Government departments,Dah Chong Hong (Motor Leasing) Limited,Not applicable,6-Jun-25
A9900312024,Provision of multi-purpose cars (self-drive) for hiring by various Government departments,Big Union Motors (Group) Limited,Not applicable,6-Jun-25
A4100682024,Supply of combined adsorbed diphtheria/tetanus/acellular pertussis (reduced dose)/inactivated poliomyelitis vaccines for booster vaccination to the Department of Health,GlaxoSmithKline Limited,"HK$11,376,060.00 F.I.S./Hong Kong",25-Jun-25
A0600952024,Provision of printing services for producing electronic document of identity for visa purposes (ID 438 and ID 438A) to the Government Logistics Department,C & C Security Printing Company Limited,"HK$23,490,350.00 ",25-Jun-25
AF300452024,Supply of office automation software to the Civil Engineering and Development Department,HKBN JOS Limited,"HK$10,041,720.00 F.I.S./Hong Kong",6-Aug-25
AF900982023,"Supply, delivery and installation of magnetic resonance imaging scanning cum imaging & control system to The Chinese Medicine Hospital of Hong Kong",Siemens Healthcare Limited,"HK$34,783,100.00 ",15-Aug-25
A4101032024,Supply of seasonal influenza vaccines to the Department of Health,DCH Auriga (Hong Kong) Limited - Healthcare Division,"HK$8,041,500.00 ",13-Aug-25
A4101032024,Supply of seasonal influenza vaccines to the Department of Health,Zuellig Pharma Limited,"HK$45,047,700.00 ",13-Aug-25
AE400592023,Supply of display system and content management system to the Leisure and Cultural Services Department,HK First Union Electronics Technology Limited,"HK$6,690,592.00 F.I.S./Hong Kong",2-Sep-25
A3700612024,Supply of personal computers and servers to the Hong Kong Police Force,Automated Systems (H.K.) Limited,"HK$4,696,634.00 ",6-Nov-25
A3700612024,Supply of personal computers and servers to the Hong Kong Police Force,Nexify Limited,"HK$1,993,563.00 ",6-Nov-25
A3700612024,Supply of personal computers and servers to the Hong Kong Police Force,Hong Kong Telecommunications (HKT) Limited,"HK$12,251,000.00 ",6-Nov-25
A2500672023,Supply of intrinsically safe portable radio transceivers to the Fire Services Department,Hytera Communications Corporation Limited,"HK$78,569,200.00 ",29-May-25
A0600522024,Provision of cleansing services for the Government Logistics Centre of the Government Logistics Department,Johnson Cleaning Services Company Limited,"HK$2,488,800.00 ",30-May-25
A7600132024,Supply of sodium silicofluoride to the Water Supplies Department,Kwong Fat Hong (HK) Limited,"HK$7,811,874.00 F.I.S./Hong Kong",25-Apr-25
A8700372024,Supply of cationic polymer to the Drainage Services Department,Kwong Fat Hong (HK) Limited,"HK$9,376,500.00 F.I.S./Hong Kong",8-Apr-25
A8900532024,Supply of network equipment and provision of related services to the Planning Department,Automated Systems (H.K.) Limited,"HK$10,449,568.00 ",26-Sep-25
AE300852024,Supply of office automation software to the Food and Environmental Hygiene Department,HKBN JOS Limited,"HK$17,475,475.00 F.I.S./Hong Kong",26-Sep-25
A9900432024,Supply of legal publications to various Government departments,Bloomsbury Books Limited,"HK$13,329,000.00 ",7-Apr-25
A9900432024,Supply of legal publications to various Government departments,Sweet & Maxwell O/B Thomson Reuters Hong Kong Limited,"HK$71,609,000.00 ",7-Apr-25
A9900432024,Supply of legal publications to various Government departments,RELX (Greater China) Limited - LexisNexis,"HK$111,816,000.00 ",7-Apr-25
