id,name_en,name_zh,category,group_code,status,source_url,first_seen,last_updated
1,Able Building Construction Limited,安保營造有限公司,Buildings,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
2,Able Engineering Company Limited,安保工程有限公司,Buildings,C,suspended,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
3,Adrian Construction Limited,毅源建築有限公司,Site Formation,B,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
4,Aggressive Construction Company Limited,精進建築有限公司,Buildings,C,suspended,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
5,Aggressive Construction Company Limited,精進建築有限公司,Roads & Drainage,B,suspended,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
6,Alchmex International Construction Limited,愛銘建築 (國際) 有限公司,Roads & Drainage,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
7,Alchmex International Construction Limited,愛銘建築 (國際) 有限公司,Site Formation,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
8,Allied Success Construction Limited,聯城建築有限公司,Buildings,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
9,Allied Way Construction Engineering Limited,匯通建築工程有限公司,Roads & Drainage,B,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
10,Allied Way Construction Engineering Limited,匯通建築工程有限公司,Site Formation,B,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
11,An Hsin Construction Company Limited,安迅建築有限公司,Buildings,A,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
12,Arbat Contractors Limited,歐寶建設有限公司,Roads & Drainage,B,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
13,Arbat Contractors Limited,歐寶建設有限公司,Site Formation,B,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
14,Asian (Ah Chi) Engineering and Construction Works Limited,Asian (Ah Chi) Engineering and Construction Works Limited,Buildings,A,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
15,Asphalt Surfaces (International) Limited,Asphalt Surfaces (International) Limited,Buildings,A,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
16,Asphalt Surfaces (International) Limited,Asphalt Surfaces (International) Limited,Roads & Drainage,B,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
17,B.L. Wong & Company Limited,寶旺有限公司,Buildings,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
18,Bachy Soletanche Group Limited,法國地基建築有限公司,Port Works,B,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
19,Best Build Construction Company Limited,建信建築有限公司,Roads & Drainage,B,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
20,Bestkind International Engineering Limited,百佳國際工程有限公司,Roads & Drainage,B,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
21,Bestrich Engineering Limited,寶倡工程有限公司,Buildings,A,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
22,Bloom Team Building Construction Company Limited,佳誠建築工程有限公司,Buildings,B,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
23,Bloom Team Building Construction Company Limited,佳誠建築工程有限公司,Roads & Drainage,B,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
24,Bordon Construction Company Limited,寶登建築有限公司,Buildings,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
25,Bordon Construction Company Limited,寶登建築有限公司,Roads & Drainage,A,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
26,Boskalis International B.V.,栢斯加利士國際公司,Port Works,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
27,Bouygues Travaux Publics,Bouygues Travaux Publics,Port Works,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
28,Bouygues Travaux Publics,Bouygues Travaux Publics,Roads & Drainage,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
29,Bouygues Travaux Publics,Bouygues Travaux Publics,Site Formation,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
30,BS Engineering & Consultancy Company Limited,威盛工程及顧問有限公司,Buildings,A,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
31,Build King (Zens) Engineering Limited,利基 (單氏) 工程有限公司,Port Works,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
32,Build King (Zens) Engineering Limited,利基 (單氏) 工程有限公司,Roads & Drainage,B,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
33,Build King (Zens) Engineering Limited,利基 (單氏) 工程有限公司,Site Formation,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
34,Build King Civil Engineering Limited,利基土木工程有限公司,Buildings,A,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
35,Build King Civil Engineering Limited,利基土木工程有限公司,Roads & Drainage,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
36,Build King Civil Engineering Limited,利基土木工程有限公司,Site Formation,B,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
