id,name_en,name_zh,category,group_code,status,source_url,first_seen,last_updated,brn,registered_address,company_type,date_of_incorporation,cr_matched_name,cr_match_ratio
1,Able Building Construction Limited,安保營造有限公司,Buildings,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,36764975,"155 WATERLOO RD KOWLOON TONG KLN, HONG KONG",Private company limited by shares,18-04-2006,Able Building Construction Limited,1.0
2,Able Engineering Company Limited,安保工程有限公司,Buildings,C,suspended,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,04750613,"155 WATERLOO RD KOWLOON TONG, KLN, HONG KONG",Private company limited by shares,21-05-1976,ABLE ENGINEERING COMPANY LIMITED,1.0
3,Adrian Construction Limited,毅源建築有限公司,Site Formation,B,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,12940416,"UNIT 1106, 11/F,, KWAI CHEONG CENTRE,, NO.50 KWAI CHEONG ROAD,, KWAI CHUNG, NT, HONG KONG",Private company limited by shares,25-04-1989,ADRIAN CONSTRUCTION LIMITED,1.0
4,Aggressive Construction Company Limited,精進建築有限公司,Buildings,C,suspended,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,34075520,"ROOM A, 33/F, ONE KOWLOON, 1 WANG YUEN STREET, KOWLOON BAY, HONG KONG",Private company limited by shares,17-11-2003,AGGRESSIVE CONSTRUCTION COMPANY LIMITED,1.0
5,Aggressive Construction Company Limited,精進建築有限公司,Roads & Drainage,B,suspended,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,34075520,"ROOM A, 33/F, ONE KOWLOON, 1 WANG YUEN STREET, KOWLOON BAY, HONG KONG",Private company limited by shares,17-11-2003,AGGRESSIVE CONSTRUCTION COMPANY LIMITED,1.0
6,Alchmex International Construction Limited,愛銘建築 (國際) 有限公司,Roads & Drainage,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,,,,,,
7,Alchmex International Construction Limited,愛銘建築 (國際) 有限公司,Site Formation,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,,,,,,
8,Allied Success Construction Limited,聯城建築有限公司,Buildings,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,65865366,"10/F.,SUI YING INDUSTRIAL BUILDING,, NO. 1 YUK YAT STREET,, TO KWA WAN, KLN, HONG KONG",Private company limited by shares,10-03-2016,ALLIED SUCCESS CONSTRUCTION LIMITED,1.0
9,Allied Way Construction Engineering Limited,匯通建築工程有限公司,Roads & Drainage,B,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,32520298,"FLAT B2, 4/F, YIP FUNG INDUSTRIAL BLDG, 28-36 KWAI FUNG CRESCENT, KWAI CHUNG, NT, HONG KONG",Private company limited by shares,08-04-2002,ALLIED WAY CONSTRUCTION ENGINEERING LIMITED,1.0
10,Allied Way Construction Engineering Limited,匯通建築工程有限公司,Site Formation,B,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,32520298,"FLAT B2, 4/F, YIP FUNG INDUSTRIAL BLDG, 28-36 KWAI FUNG CRESCENT, KWAI CHUNG, NT, HONG KONG",Private company limited by shares,08-04-2002,ALLIED WAY CONSTRUCTION ENGINEERING LIMITED,1.0
11,An Hsin Construction Company Limited,安迅建築有限公司,Buildings,A,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,05810127,"UNIT 701, 7/F.,, COMWEB PLAZA, 12 CHEUNG YUE STREET, CHEUNG SHA WAN KLN, HONG KONG",Private company limited by shares,27-10-1978,AN HSIN CONSTRUCTION COMPANY LIMITED,1.0
12,Arbat Contractors Limited,歐寶建設有限公司,Roads & Drainage,B,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,35571331,"UNIT D-E, 6/F., WORLDWIDE CENTRE,, 123 TUNG CHAU STREET, KLN, HONG KONG",Private company limited by shares,24-03-2005,ARBAT CONTRACTORS LIMITED,1.0
13,Arbat Contractors Limited,歐寶建設有限公司,Site Formation,B,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,35571331,"UNIT D-E, 6/F., WORLDWIDE CENTRE,, 123 TUNG CHAU STREET, KLN, HONG KONG",Private company limited by shares,24-03-2005,ARBAT CONTRACTORS LIMITED,1.0
14,Asian (Ah Chi) Engineering and Construction Works Limited,Asian (Ah Chi) Engineering and Construction Works Limited,Buildings,A,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,,,,,,
15,Asphalt Surfaces (International) Limited,Asphalt Surfaces (International) Limited,Buildings,A,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,17939886,"3/F, WELL INDUSTRIAL BUILDING,, 21-23 LAM TIN STREET, KWAI CHUNG,, NT, HONG KONG",Private company limited by shares,15-03-1994,ASPHALT SURFACES (INTERNATIONAL) LIMITED,1.0
16,Asphalt Surfaces (International) Limited,Asphalt Surfaces (International) Limited,Roads & Drainage,B,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,17939886,"3/F, WELL INDUSTRIAL BUILDING,, 21-23 LAM TIN STREET, KWAI CHUNG,, NT, HONG KONG",Private company limited by shares,15-03-1994,ASPHALT SURFACES (INTERNATIONAL) LIMITED,1.0
17,B.L. Wong & Company Limited,寶旺有限公司,Buildings,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,50892631,"ROOM 6 OF UNIT O,, 4/F KAISER ESTATE,, PHASE 3,11 HOK YUEN STREET,, HUNG HOM, KOWLOON, HONG KONG",Private company limited by shares,13-07-2009,B L CO. LIMITED,0.9
18,Bachy Soletanche Group Limited,法國地基建築有限公司,Port Works,B,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,22154910,"UNIT 1805, 18/F, THE BAY HUB, 17 KAI CHEUNG ROAD, KOWLOON BAY, HONG KONG",Private company limited by shares,02-09-1998,BACHY SOLETANCHE GROUP LIMITED,1.0
