Year,Quarter,RLB,ASD
1970,Q1,160,100
1970,Q2,173,106
1970,Q3,185,124
1970,Q4,198,131
1971,Q1,210,140
1971,Q2,222,143
1971,Q3,230,144
1971,Q4,238,143
1972,Q1,238,144
1972,Q2,236,146
1972,Q3,238,158
1972,Q4,245,158
1973,Q1,258,160
1973,Q2,275,167
1973,Q3,300,190
1973,Q4,325,199
1974,Q1,345,206
1974,Q2,345,213
1974,Q3,318,203
1974,Q4,290,191
1975,Q1,275,145
1975,Q2,258,145
1975,Q3,243,137
1975,Q4,228,140
1976,Q1,221,150
1976,Q2,238,153
1976,Q3,255,153
1976,Q4,263,149
1977,Q1,270,164
1977,Q2,270,174
1977,Q3,273,185
1977,Q4,300,201
1978,Q1,320,203
1978,Q2,350,208
1978,Q3,380,230
1978,Q4,420,238
1979,Q1,460,262
1979,Q2,500,285
1979,Q3,535,304
1979,Q4,550,329
1980,Q1,570,347
1980,Q2,570,353
1980,Q3,600,369
1980,Q4,610,381
1981,Q1,620,389
1981,Q2,620,393
1981,Q3,630,375
1981,Q4,630,376
1982,Q1,630,364
1982,Q2,620,370
1982,Q3,600,342
1982,Q4,580,327
1983,Q1,560,298
1983,Q2,560,298
1983,Q3,540,317
1983,Q4,560,326
1984,Q1,570,328
1984,Q2,570,332
1984,Q3,570,323
1984,Q4,560,337
1985,Q1,560,326
1985,Q2,555,335
1985,Q3,565,344
1985,Q4,585,351
1986,Q1,605,376
1986,Q2,615,392
1986,Q3,630,373
1986,Q4,655,380
1987,Q1,665,385
1987,Q2,690,403
1987,Q3,700,411
1987,Q4,740,438
1988,Q1,785,479
1988,Q2,820,510
1988,Q3,865,521
1988,Q4,925,541
1989,Q1,960,542
1989,Q2,960,548
1989,Q3,985,552
1989,Q4,1000,559
1990,Q1,1020,574
1990,Q2,1030,561
1990,Q3,1045,582
1990,Q4,1080,596
1991,Q1,1090,608
1991,Q2,1075,592
1991,Q3,1075,573
1991,Q4,1055,515
1992,Q1,1035,531
1992,Q2,1020,548
1992,Q3,1020,519
1992,Q4,1030,518
1993,Q1,1025,527
1993,Q2,1045,527
1993,Q3,1075,541
1993,Q4,1080,563
1994,Q1,1100,586
1994,Q2,1125,594
1994,Q3,1160,615
1994,Q4,1220,666
1995,Q1,1280,708
1995,Q2,1330,712
1995,Q3,1360,733
1995,Q4,1370,747
1996,Q1,1400,772
1996,Q2,1430,813
1996,Q3,1485,848
1996,Q4,1520,885
1997,Q1,1575,902
1997,Q2,1660,953
1997,Q3,1760,996
1997,Q4,1810,1051
1998,Q1,1800,1103
1998,Q2,1765,1054
1998,Q3,1695,1065
1998,Q4,1675,1034
1999,Q1,1660,1024
1999,Q2,1640,1031
1999,Q3,1620,1025
1999,Q4,1600,989
2000,Q1,1510,959
2000,Q2,1440,873
2000,Q3,1435,858
2000,Q4,1410,844
2001,Q1,1400,862
2001,Q2,1390,842
2001,Q3,1360,807
2001,Q4,1290,721
2002,Q1,1270,687
2002,Q2,1240,742
2002,Q3,1210,692
2002,Q4,1185,733
2003,Q1,1205,720
2003,Q2,1230,723
2003,Q3,1195,722
2003,Q4,1210,681
2004,Q1,1255,685
2004,Q2,1265,712
2004,Q3,1230,704
2004,Q4,1220,701
2005,Q1,1260,711
2005,Q2,1270,716
2005,Q3,1275,718
2005,Q4,1280,697
2006,Q1,1300,714
2006,Q2,1310,730
2006,Q3,1360,751
2006,Q4,1410,789
2007,Q1,1440,821
2007,Q2,1475,859
2007,Q3,1535,906
2007,Q4,1595,998
2008,Q1,1680,1118
2008,Q2,1810,1305
2008,Q3,1865,1401
2008,Q4,1750,1262
2009,Q1,1630,1074
2009,Q2,1605,983
2009,Q3,1620,1111
2009,Q4,1655,1107
2010,Q1,1670,1134
2010,Q2,1730,1161
2010,Q3,1750,1249
2010,Q4,1785,1266
2011,Q1,1840,1273
2011,Q2,1870,1320
2011,Q3,1925,1369
2011,Q4,1955,1408
2012,Q1,1995,1414
2012,Q2,2045,1438
2012,Q3,2075,1467
2012,Q4,2100,1496
2013,Q1,2145,1516
2013,Q2,2190,1532
2013,Q3,2230,1559
2013,Q4,2290,1590
2014,Q1,2360,1621
2014,Q2,2390,1648
2014,Q3,2425,1679
2014,Q4,2460,1703
2015,Q1,2510,1732
2015,Q2,2540,1761
2015,Q3,2545,1777
2015,Q4,2565,1775
2016,Q1,2565,1775
2016,Q2,2570,1776
2016,Q3,2580,1783
2016,Q4,2580,1781
2017,Q1,2580,1779
2017,Q2,2555,1776
2017,Q3,2565,1773
2017,Q4,2560,1768
2018,Q1,2530,1755
2018,Q2,2495,1727
2018,Q3,2465,1708
2018,Q4,2440,1698
2019,Q1,2395,1695
2019,Q2,2385,1686
2019,Q3,2355,1675
2019,Q4,2340,1652
2020,Q1,2300,1641
2020,Q2,2265,1623
2020,Q3,2260,1618
2020,Q4,2250,1625
2021,Q1,2285,1631
2021,Q2,2300,1620
2021,Q3,2345,1640
2021,Q4,2370,1679
2022,Q1,2420,1696
2022,Q2,2475,1726
2022,Q3,2515,1744
2022,Q4,2545,1763
2023,Q1,2570,1785
2023,Q2,2590,1806
2023,Q3,2615,1811
2023,Q4,2640,1828
2024,Q1,2655,1840
2024,Q2,2670,1851
2024,Q3,2680,1856
2024,Q4,2690,1856
2025,Q1,2680,1855
2025,Q2,2660,1855
2025,Q3,2620,1855
2025,Q4,2610,1836
