period,period_type,category,Asphalter (road construction),Bamboo scaffolder,Bar bender and fixer,Bricklayer,Building services maintenance mechanic,Cable jointer (power),Carpenter (formwork),Concretor,Construction plant mechanic,Diver,Drainlayer,Electrical fitter (incl. electrician),Fire services mechanic,General welder,General workers and labourers,Glazier,Joiner,Leveller,Lift and escalator mechanic,Marble worker,Mason,Mechanical fitter,Metal worker,Painter and decorator,Plant & equipment operator (load shifting),Plasterer,Plumber,Refrigeration/ air-conditioning/ ventilation mechanic,Rigger/ metal formwork erector,Rock-breaking driller,Structural steel erector,Structural steel welder,Truck driver
200304,monthly,average_daily_wage_hkd,863.5,1145.2,1325.1,957,950,640.5,1268.8,1080.4,877.9,2018.4,963.1,804.7,793.5,848.6,603,897.1,1027.3,766.1,855,1040.1,867.7,746.9,889.8,882.4,806.1,963,975.2,670.9,994,886.8,958.3,868.2,655.1
200305,monthly,average_daily_wage_hkd,858.8,1161.9,1309.2,968.8,700,774.2,1249,1076,846.5,1591.4,946.5,808.9,800.7,848.2,601.1,875.5,1020.6,775.1,841,1091.3,900.7,792.8,885.5,898.8,807.6,968.9,980.9,690.6,992.6,864.9,989.4,885,649.2
200306,monthly,average_daily_wage_hkd,876.6,1164.6,1297.4,971.9,987.2,575,1254,1072.4,859.8,1725.2,955.6,794.6,797.6,848.9,601.1,895.5,1059.2,771,769.1,1132.7,903.7,764.2,890.4,907.7,809.2,976.1,986.8,675.9,980.7,889.8,1063.1,879.7,653.1
200307,monthly,average_daily_wage_hkd,773.9,1181.7,1296.1,961.1,901.4,708.3,1258.1,1093.4,861.7,1673.6,959.8,782.6,797.4,850.6,600.5,878.1,1147.5,763.1,759,1085.2,937.3,759.5,892.8,911.4,803,983.6,996.4,646.5,986.1,889.7,1015.1,906.4,647.9
200308,monthly,average_daily_wage_hkd,741.2,1154.2,1276.4,949.7,840,1017.8,1227.1,1078.2,848.2,1680.5,937.5,775,792.9,847.5,598.9,889.4,1122.4,758.6,793.2,1003.7,877.1,767.9,886.4,905.5,797.9,976.2,977.6,645.6,996,891.1,1018.6,915.8,645.9
200309,monthly,average_daily_wage_hkd,707.6,1138.7,1265.4,969.2,730,600,1206.8,1060.1,832,1704.6,938.8,779.1,796,846.6,592.8,866.4,1074,745.4,902.7,1027.9,876.2,767.5,875.8,907.5,791.9,982.6,983.2,642.4,956.3,865,1034.5,888.8,645.6
200310,monthly,average_daily_wage_hkd,752.4,1163.3,1253.5,950.4,772,637.3,1187.9,1049.7,825.9,1643,930.9,762.9,794.6,844.4,591.6,888.6,1089.2,744.7,895.2,1056.9,838.9,757.9,868.4,885.6,784.3,975.9,979.8,632.3,914.5,849.3,1007.5,859.8,641.2
200311,monthly,average_daily_wage_hkd,724,1161,1258.4,932.4,795.2,794.7,1188.6,1032,830.5,1556.1,919.4,754.1,780.5,826.3,587.2,883.8,1098.3,759.1,838.2,1068.3,895.7,788.4,869.5,872.2,781.2,977.7,976.8,646.7,920.2,865.1,999.5,906.9,634.8
200312,monthly,average_daily_wage_hkd,753.6,1148.1,1249.7,953.4,828.8,600,1184.8,1021.9,816.3,1522.4,933.6,758.1,776.7,820.6,589.1,879.5,1045.2,751.9,833.7,1013.6,885,793.3,863.6,894.8,781.9,981.9,967.6,646.1,901.8,868.2,1040.6,898.6,642.8
200401,monthly,average_daily_wage_hkd,788.8,1174.1,1243.8,957.1,772.6,600,1199.2,1031.3,825,1722.8,954.7,753.1,765.9,814.6,590.3,899.2,1106.7,761.9,863.5,1052.8,876.4,750,860,901.3,783.3,973.8,981.3,635.4,847.5,854.7,1075.9,927.5,634.2
