no.,source,tender_ref,contractor_name,contract_value,currency,award_date,url
1,archsd,SSL513,Chun Wo Elegant JV,389647500.0,HKD,2023-01-03,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
2,archsd,SSL518,Sunnic Engineering Limited,275513000.0,HKD,2023-01-06,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
3,archsd,SSL511,Build King Construction Limited,429499000.0,HKD,2023-01-13,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
4,archsd,SSL510,Hop Lee Builders Company Limited,408658500.0,HKD,2023-01-16,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
5,archsd,TCL720,Shui On Building Contractors Limited,569920000.0,HKD,2023-02-10,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
6,archsd,RFL811,Shun Yip Construction Company Limited,11591365.0,HKD,2023-04-17,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
7,archsd,SSJ506,Shui On Construction Company Limited,1934600000.0,HKD,2023-04-19,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
8,archsd,SSL516,Wise Trend Engineering Limited,91180000.0,HKD,2023-05-31,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
9,archsd,TCL519,Wecon Limited,535751500.0,HKD,2023-06-02,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
10,archsd,NSC to SSL516,Meco Engineering Limited,20500000.0,HKD,2023-06-02,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
11,archsd,RFL802,Gold Banner Construction and Development Limited,9991086.0,HKD,2023-06-07,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
12,archsd,RFL806,Creative Concept Construction Company Limited,15447000.0,HKD,2023-06-16,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
13,archsd,RFL807,Maylon Construction Company Limited,11879440.0,HKD,2023-06-20,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
14,archsd,SSL505,Wanson Construction Company Limited,366002752.0,HKD,2023-06-27,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
