REHAB_PROJ_KEY,BUILDING_NAME_ENG,BUILDING_NAME_CHI,BUILDING_ADDRESS_ENG,BUILDING_ADDRESS_CHI,DISTRICT,COMPLETION_YEAR,NUMBER_OF_UNITS,NUMBER_OF_STOREYS,REHABILITATION_COST,AVERAGE_CONTRIBUTION_PER_UNIT,OP_YEAR,SCHEME,SCOPE_OF_WORKS
2125,Wah Sing Building (Block B),華成樓(Ｂ座),80-84 Hau Tei Square,鱟地坊80-84號,Tsuen Wan,2015,20,6,1554000,80200,1964,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Electrical Installation Improvement; Fire Services Installation Improvement; Replacement/Repairing of Windows; Repair Underground Drainage
2285,On Fung Building,安豐大廈,80-98 Heung Wo Street & 63-65 Yuen Tun Circuit,享和街80-98號 & 圓墩圍63-65號,Tsuen Wan,2014,125,21,3955000,31640,1971,CAS,Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Re-roofing for Main Roof; Electrical Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
1174,Tak Fan House,德範樓,2-20 Tak Wah Street,德華街 2-20 號,Tsuen Wan,2013,60,6,2775000,46250,1966,OBB(Cat2VW),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Electrical Installation Improvement; Replacement/Repairing of Windows
1084,Mee Wah Building,美華樓,2-4 Heung Shing Street,享成街 2-4 號,Tsuen Wan,2011,29,6,1148700,39610.34,1971,OBB(Cat2VW),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Electrical Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows; Main Lobby Redecoration
682,Winning Heights,運通洋樓,4-12 Wang Tung Street & 279-287 Castle Peak Road Tsuen Wan & 5-11 Fu Wah Street & 65-75 Lo Tak Court,宏通街 4-12號 & 青山公路荃灣段279-287號 & 富華街5-11號 & 路德圍65-75號,Tsuen Wan,2012,204,24,6620114,32451.54,1973,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Electrical Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
1005,Win Shing House,運盛樓,9-12 Fu Yung Street,芙蓉街 9-12號,Tsuen Wan,2011,35,6,1041200,29748.57,1972,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Flushing Water Pipes; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows; Main Lobby Redecoration
762,Nga Chi House,雅緻樓,9-14 Sze Pei Square,四陂坊 9-14 號,Tsuen Wan,2013,62,10,2580000,41612.9,1964,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Re-roofing for Main Roof; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
689,Tai Wah Building,泰華大廈,9-31 Tai Pei Square,大陂坊 9-31號,Tsuen Wan,2011,179,19,5370784,30004.38,1973,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Flushing Water Pipes; Electrical Installation Improvement; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows; Main Lobby Redecoration; Repair Underground Drainage
1037,Tak Yan House Stage 14,德仁樓十四期,14-18 Lo Tak Court,路德圍14-18號,Tsuen Wan,2014,17,6,1038756,61103.29,1972,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Electrical Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
768,Sam Wo Building,三和樓,18 Chung On Street,眾安街 18 號,Tsuen Wan,2009,66,13,2068400,31339.39,1972,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Replacement/Repairing of Windows; Lift Renovation
760,Tsuen Fat Building,荃發大廈,19 Tsuen Hing Path,荃興徑 19 號,Tsuen Wan,2009,69,23,4063489,58891.14,1973,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Electrical Installation Improvement; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows; Main Lobby Redecoration
777,Wah Tat  House,華達樓,22-32 Hoi Pa Street,海壩街 22-32 號,Tsuen Wan,2011,77,11,2845650,36956.49,1966,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Electrical Installation Improvement; Fire Services Installation Improvement; Replacement/Repairing of Windows; Main Lobby Redecoration; Repair Underground Drainage
