id,tender_ref,award_date,contractor_name,contractor_brn,contract_value,contract_value_currency,source,source_url,first_seen
193,Ching Lai Commercial CentreShop  G5,,Ching Lai Court(Sham Shui Po)(Tel:2204 1027) / Choose one of the following:,,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
194,,,"4,600 / ",,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
196,,,"4,100 / ",,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
197,,,"4,800 / ",,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
198,Ching Lai Commercial CentreShop G6 - G8,,Ching Lai Court(Sham Shui Po)(Tel:2204 1027) / Choose one of the following:,,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
199,,,"11,500 / ",,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
200,,,"11,000 / ",,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
201,,,"12,500 / ",,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
202,Hoi Lai Shopping CentreShop 16 + 17,,Hoi Lai Estate(Sham Shui Po)(Tel:2947 1368) / Choose one of the following:,,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
203,,,"23,000 / ",,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
204,,,"21,000 / ",,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
205,Kai Chuen Shopping CentreShop 114,,Kai Chuen Court(Wong Tai Sin)(Tel:2324 0096) / Choose one of the following:,,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
209,Lei Muk Shue Shopping CentreShop  24,,Lei Muk Shue Estate(Tsuen Wan)(Tel:2418 2831) / Choose one of the following:,,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
210,,,"16,000 / ",,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
211,,,"12,000 / ",,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
213,,,"17,000 / ",,,HKD,ha,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html,2026-08-20T01:27:29
