record_type,source,tender_ref,title,contractor_name,contractor_brn,contract_value,currency,status,award_date,publication_date,closing_date,url
award,ha,Ching Lai Commercial CentreShop  G5,,Ching Lai Court(Sham Shui Po)(Tel:2204 1027) / Choose one of the following:,,,HKD,awarded,,,,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html
award,ha,Ching Lai Commercial CentreShop G6 - G8,,Ching Lai Court(Sham Shui Po)(Tel:2204 1027) / Choose one of the following:,,,HKD,awarded,,,,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html
award,ha,Hoi Lai Shopping CentreShop 16 + 17,,Hoi Lai Estate(Sham Shui Po)(Tel:2947 1368) / Choose one of the following:,,,HKD,awarded,,,,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html
award,ha,Kai Chuen Shopping CentreShop 114,,Kai Chuen Court(Wong Tai Sin)(Tel:2324 0096) / Choose one of the following:,,,HKD,awarded,,,,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html
award,ha,Lei Muk Shue Shopping CentreShop  24,,Lei Muk Shue Estate(Tsuen Wan)(Tel:2418 2831) / Choose one of the following:,,,HKD,awarded,,,,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html
award,ha,Lei Muk Shue Shopping CentreShop 114,,Lei Muk Shue Estate(Tsuen Wan)(Tel:2418 2831) / Choose one of the following:,,,HKD,awarded,,,,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html
award,ha,On Kay Commerical CentreShop 101,,On Kay Court(Kwun Tong)(Tel:2758 9519) / Choose one of the following:,,,HKD,awarded,,,,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html
award,ha,On Ying Shopping CentreShop LG113,,On Ying Court(Sai Kung)(Tel:2701 3320) / Choose one of the following:,,,HKD,awarded,,,,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html
award,ha,MarketShopstall  4,,Pok Hong Estate(Sha Tin)(Tel:2647 0815) / Choose one of the following:,,,HKD,awarded,,,,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html
award,ha,MarketShopstall 10,,Pok Hong Estate(Sha Tin)(Tel:2647 0815) / Choose one of the following:,,,HKD,awarded,,,,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html
award,ha,MarketShopstall 15,,Pok Hong Estate(Sha Tin)(Tel:2647 0815) / Choose one of the following:,,,HKD,awarded,,,,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html
award,ha,MarketShopstall 20,,Pok Hong Estate(Sha Tin)(Tel:2647 0815) / Choose one of the following:,,,HKD,awarded,,,,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html
award,ha,Queens Hill Shopping CentreShop 25,,Queens Hill Estate(North)(Tel:2661 2821) / Choose one of the following:,,,HKD,awarded,,,,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html
award,ha,"Yam Heng HouseG/F, Shop 1",,Shek Yam East Estate(Kwai Tsing)(Tel:2424 2942) / Choose one of the following:,,,HKD,awarded,,,,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html
award,ha,So Uk Shopping CentreShop G06,,So Uk Estate(Sham Shui Po)(Tel:3709 7507) / Choose one of the following:,,,HKD,awarded,,,,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html
award,ha,Shek Mun Shopping CentreShop P15+Advertising Light BoxNo. 2,,Shek Mun Estate(Sha Tin)(Tel:2699 0329) / Choose one of the following:,,,HKD,awarded,,,,https://www.housingauthority.gov.hk/en/commercial-properties/tender-notices-and-awards/index.html
award,archsd,SSL513,,Chun Wo Elegant JV,,389647500.0,HKD,awarded,2023-01-03,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,SSL518,,Sunnic Engineering Limited,,275513000.0,HKD,awarded,2023-01-06,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,SSL511,,Build King Construction Limited,,429499000.0,HKD,awarded,2023-01-13,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,SSL510,,Hop Lee Builders Company Limited,,408658500.0,HKD,awarded,2023-01-16,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,TCL720,,Shui On Building Contractors Limited,,569920000.0,HKD,awarded,2023-02-10,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,RFL811,,Shun Yip Construction Company Limited,,11591365.0,HKD,awarded,2023-04-17,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,SSJ506,,Shui On Construction Company Limited,,1934600000.0,HKD,awarded,2023-04-19,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,SSL516,,Wise Trend Engineering Limited,,91180000.0,HKD,awarded,2023-05-31,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
