id,source,tender_ref,title_en,procurement_category,issuing_dept,publication_date,closing_date,status,estimated_value,tender_url,raw_html,first_seen,last_updated
88,ha,-,Six-month Schedule of Engineering Works Contracts (September 2026 to February 2027),,,14 Aug2026,28 Feb2027,open,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_14_Aug_2026_01.pdf'),"<tr style=""vertical-align: text-top;""><td>-</td><td>Six-month Schedule of Engineering Works Contracts (September 2026 to February 2027)</td><td>14 Aug<br/>2026</td><td>28 Feb<br/>2027</td><td><a href=""javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_14_Aug_2026_01.pdf')""><img alt=""Download: Six-month Schedule of Engineering Works Contracts (September 2026 to February 2027)"" src=""/common/image/download-icon/icon-file-pdf.gif""/></a></td></tr>",2026-08-20T01:27:28,2026-08-20T01:27:28
89,ha,-,Tender for the Design and Delivery of Housing Department Advanced Leadership Training Programme (ALTP) – 3-Day Core Modules for the Hong Kong Housing Authority,,,14 Aug2026,10:00 am28 Aug2026,open,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_14_Aug_2026_02.pdf'),"<tr style=""vertical-align: text-top;""><td>-</td><td>Tender for the Design and Delivery of Housing Department Advanced Leadership Training Programme (ALTP) – 3-Day Core Modules for the Hong Kong Housing Authority</td><td>14 Aug<br/>2026</td><td>10:00 am<br/>28 Aug<br/>2026</td><td><a href=""javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_14_Aug_2026_02.pdf')""><img alt=""Download: Tender for the Design and Delivery of Housing Department Advanced Leadership Training Programme (ALTP) – 3-Day Core Modules for the Hong Kong Housing Authority"" src=""/common/image/download-icon/icon-file-pdf.gif""/></a></td></tr>",2026-08-20T01:27:28,2026-08-20T01:27:28
90,ha,-,Six-month Schedule of Building (New Works) Contracts (September 2026 to February 2027),,,7 Aug2026,28 Feb2027,open,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_7_Aug_2026_01.pdf'),"<tr style=""vertical-align: text-top;""><td>-</td><td>Six-month Schedule of Building (New Works) Contracts (September 2026 to February 2027)</td><td>7 Aug<br/>2026</td><td>28 Feb<br/>2027</td><td><a href=""javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_7_Aug_2026_01.pdf')""><img alt=""Download: Six-month Schedule of Building (New Works) Contracts (September 2026 to February 2027)"" src=""/common/image/download-icon/icon-file-pdf.gif""/></a></td></tr>",2026-08-20T01:27:28,2026-08-20T01:27:28
91,ha,-,Six-month Schedule of Contract(s) of Building Services Works for Estate Management Division (1 September 2026 to 28 February 2027),,,7 Aug2026,28 Feb2027,open,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_7_Aug_2026_02.pdf'),"<tr style=""vertical-align: text-top;""><td>-</td><td>Six-month Schedule of Contract(s) of Building Services Works for Estate Management Division (1 September 2026 to 28 February 2027)</td><td>7 Aug<br/>2026</td><td>28 Feb<br/>2027</td><td><a href=""javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_7_Aug_2026_02.pdf')""><img alt=""Download: Six-month Schedule of Contract(s) of Building Services Works for Estate Management Division (1 September 2026 to 28 February 2027)"" src=""/common/image/download-icon/icon-file-pdf.gif""/></a></td></tr>",2026-08-20T01:27:28,2026-08-20T01:27:28
92,ha,-,Tender Schedule of Building (New Works) Design and Build contract (September 2026),,,31 Jul2026,30 Sep2026,open,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_31_Jul_2026_01.pdf'),"<tr style=""vertical-align: text-top;""><td>-</td><td>Tender Schedule of Building (New Works) Design and Build contract (September 2026)</td><td>31 Jul<br/>2026</td><td>30 Sep<br/>2026</td><td><a href=""javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_31_Jul_2026_01.pdf')""><img alt=""Download: Tender Schedule of Building (New Works) Design and Build contract (September 2026)"" src=""/common/image/download-icon/icon-file-pdf.gif""/></a></td></tr>",2026-08-20T01:27:28,2026-08-20T01:27:28
93,ha,-,Tender for the Supply of Office Application Suite Software for the Hong Kong Housing Authority,,,31 Jul2026,10:00 am11 Sep2026,open,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_31_Jul_2026_02.pdf'),"<tr style=""vertical-align: text-top;""><td>-</td><td>Tender for the Supply of Office Application Suite Software for the Hong Kong Housing Authority</td><td>31 Jul<br/>2026</td><td>10:00 am<br/>11 Sep<br/>2026</td><td><a href=""javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_31_Jul_2026_02.pdf')""><img alt=""Download: Tender for the Supply of Office Application Suite Software for the Hong Kong Housing Authority"" src=""/common/image/download-icon/icon-file-pdf.gif""/></a></td></tr>",2026-08-20T01:27:28,2026-08-20T01:27:28
94,ha,HAQ20260226,Tender for the Provision of Disaster Recovery Services for Information Technology Systems for the Hong Kong Housing Authority,,,31 Jul2026,10:00 am11 Sep2026,open,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_31_Jul_2026_04.pdf'),"<tr style=""vertical-align: text-top;""><td>HAQ20260226</td><td>Tender for the Provision of Disaster Recovery Services for Information Technology Systems for the Hong Kong Housing Authority</td><td>31 Jul<br/>2026</td><td>10:00 am<br/>11 Sep<br/>2026</td><td><a href=""javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_31_Jul_2026_04.pdf')""><img alt=""Download: Tender for the Provision of Disaster Recovery Services for Information Technology Systems for the Hong Kong Housing Authority"" src=""/common/image/download-icon/icon-file-pdf.gif""/></a></td></tr>",2026-08-20T01:27:28,2026-08-20T01:27:28
95,ha,HAQ20260235,Tender for Provision of Counselling Services on Stress Management,,,31 Jul2026,10:00 am21 Aug2026,open,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_31_Jul_2026_06.pdf'),"<tr style=""vertical-align: text-top;""><td>HAQ20260235</td><td>Tender for Provision of Counselling Services on Stress Management</td><td>31 Jul<br/>2026</td><td>10:00 am<br/>21 Aug<br/>2026</td><td><a href=""javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_31_Jul_2026_06.pdf')""><img alt=""Download: Tender for Provision of Counselling Services on Stress Management"" src=""/common/image/download-icon/icon-file-pdf.gif""/></a></td></tr>",2026-08-20T01:27:28,2026-08-20T01:27:28
96,ha,-,"Notice of Pre-qualification of Tenderers – Term Contracts for Slope Maintenance and Improvement Works (2028–2031) for Regions A, B, C and D",,,24 Jul2026,10:00 am21 Aug2026,open,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_24_Jul_2026_03.pdf'),"<tr style=""vertical-align: text-top;""><td>-</td><td>Notice of Pre-qualification of Tenderers – Term Contracts for Slope Maintenance and Improvement Works (2028–2031) for Regions A, B, C and D</td><td>24 Jul<br/>2026</td><td>10:00 am<br/>21 Aug<br/>2026</td><td><a href=""javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_24_Jul_2026_03.pdf')""><img alt=""Download: Notice of Pre-qualification of Tenderers – Term Contracts for Slope Maintenance and Improvement Works (2028–2031) for Regions A, B, C and D"" src=""/common/image/download-icon/icon-file-pdf.gif""/></a></td></tr>",2026-08-20T01:27:28,2026-08-20T01:27:28
97,ha,-,Notice of Pre-qualification of Tenderers – Civil Engineering Improvement Works at Ap Lei Chau Estate and Lung Tin Estate,,,24 Jul2026,10:00 am21 Aug2026,open,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_24_Jul_2026_02.pdf'),"<tr style=""vertical-align: text-top;""><td>-</td><td>Notice of Pre-qualification of Tenderers – Civil Engineering Improvement Works at Ap Lei Chau Estate and Lung Tin Estate</td><td>24 Jul<br/>2026</td><td>10:00 am<br/>21 Aug<br/>2026</td><td><a href=""javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_24_Jul_2026_02.pdf')""><img alt=""Download: Notice of Pre-qualification of Tenderers – Civil Engineering Improvement Works at Ap Lei Chau Estate and Lung Tin Estate"" src=""/common/image/download-icon/icon-file-pdf.gif""/></a></td></tr>",2026-08-20T01:27:28,2026-08-20T01:27:28
98,ha,-,Notice of Pre-qualification of Tenderers –Tender for Term Contracts (2027/2030) for the Supply and Installation of Refuse Handling Systems for New Housing Authority Buildings (Packages A and B),,,17 Jul2026,10:00 am28 Aug2026,open,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_17_Jul_2026_01.pdf'),"<tr style=""vertical-align: text-top;""><td>-</td><td>Notice of Pre-qualification of Tenderers –Tender for Term Contracts (2027/2030) for the Supply and Installation of Refuse Handling Systems for New Housing Authority Buildings (Packages A and B)</td><td>17 Jul<br/>2026</td><td>10:00 am<br/>28 Aug<br/>2026</td><td><a href=""javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_17_Jul_2026_01.pdf')""><img alt=""Download: Notice of Pre-qualification of Tenderers –Tender for Term Contracts (2027/2030) for the Supply and Installation of Refuse Handling Systems for New Housing Authority Buildings (Packages A and B)"" src=""/common/image/download-icon/icon-file-pdf.gif""/></a></td></tr>",2026-08-20T01:27:28,2026-08-20T01:27:28
99,ha,-,Tender for Cleansing Service Contracts for Estates,,,10 Jul2026,10:00 am21 Aug2026,open,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_10_Jul_2026_02.pdf'),"<tr style=""vertical-align: text-top;""><td>-</td><td>Tender for Cleansing Service Contracts for Estates</td><td>10 Jul<br/>2026</td><td>10:00 am<br/>21 Aug<br/>2026</td><td><a href=""javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_10_Jul_2026_02.pdf')""><img alt=""Download: Tender for Cleansing Service Contracts for Estates"" src=""/common/image/download-icon/icon-file-pdf.gif""/></a></td></tr>",2026-08-20T01:27:28,2026-08-20T01:27:28
100,ha,-,Schedule of Building (New Works) Design and Build Contracts (October 2026 to March 2027),,,26 Jun2026,31 Mar2027,open,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_26_Jun_2026_01.pdf'),"<tr style=""vertical-align: text-top;""><td>-</td><td>Schedule of Building (New Works) Design and Build Contracts (October 2026 to March 2027)</td><td>26 Jun<br/>2026</td><td>31 Mar<br/>2027</td><td><a href=""javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_26_Jun_2026_01.pdf')""><img alt=""Download: Schedule of Building (New Works) Design and Build Contracts (October 2026 to March 2027)"" src=""/common/image/download-icon/icon-file-pdf.gif""/></a></td></tr>",2026-08-20T01:27:28,2026-08-20T01:27:28
101,ha,-,Six-month Tender Schedule of Property Management Agency Service Contracts for Commercial Properties (July to December 2026),,,26 Jun2026,31 Dec2026,open,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_26_Jun_2026_05.pdf'),"<tr style=""vertical-align: text-top;""><td>-</td><td>Six-month Tender Schedule of Property Management Agency Service Contracts for Commercial Properties (July to December 2026)</td><td>26 Jun<br/>2026</td><td>31 Dec<br/>2026</td><td><a href=""javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_26_Jun_2026_05.pdf')""><img alt=""Download: Six-month Tender Schedule of Property Management Agency Service Contracts for Commercial Properties (July to December 2026)"" src=""/common/image/download-icon/icon-file-pdf.gif""/></a></td></tr>",2026-08-20T01:27:28,2026-08-20T01:27:28
102,ha,-,Six-month Schedule of District Term Maintenance Contracts (July to December 2026),,,26 Jun2026,31 Dec2026,open,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_26_Jun_2026_02.pdf'),"<tr style=""vertical-align: text-top;""><td>-</td><td>Six-month Schedule of District Term Maintenance Contracts (July to December 2026)</td><td>26 Jun<br/>2026</td><td>31 Dec<br/>2026</td><td><a href=""javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_26_Jun_2026_02.pdf')""><img alt=""Download: Six-month Schedule of District Term Maintenance Contracts (July to December 2026)"" src=""/common/image/download-icon/icon-file-pdf.gif""/></a></td></tr>",2026-08-20T01:27:28,2026-08-20T01:27:28
103,ha,-,Six-month Schedule of Building Maintenance Contracts (July to December 2026),,,18 Jun2026,31 Dec2026,open,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_18_Jun_2026_01.pdf'),"<tr style=""vertical-align: text-top;""><td>-</td><td>Six-month Schedule of Building Maintenance Contracts (July to December 2026)</td><td>18 Jun<br/>2026</td><td>31 Dec<br/>2026</td><td><a href=""javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_18_Jun_2026_01.pdf')""><img alt=""Download: Six-month Schedule of Building Maintenance Contracts (July to December 2026)"" src=""/common/image/download-icon/icon-file-pdf.gif""/></a></td></tr>",2026-08-20T01:27:28,2026-08-20T01:27:28
104,ha,-,Six-month Tender Schedule of Security Service Contracts for Estates (July to December 2026),,,18 Jun2026,31 Dec2026,open,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_18_Jun_2026_06.pdf'),"<tr style=""vertical-align: text-top;""><td>-</td><td>Six-month Tender Schedule of Security Service Contracts for Estates (July to December 2026)</td><td>18 Jun<br/>2026</td><td>31 Dec<br/>2026</td><td><a href=""javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_18_Jun_2026_06.pdf')""><img alt=""Download: Six-month Tender Schedule of Security Service Contracts for Estates (July to December 2026)"" src=""/common/image/download-icon/icon-file-pdf.gif""/></a></td></tr>",2026-08-20T01:27:28,2026-08-20T01:27:28
