特選建築材料平均批發價格@,,,,,
Average Wholesale Prices of Selected Building Materials@,,,,,
2025 年 12 月,,,,,
Dec-25,,,,,
,材料,單位,Materials,Unit,HK$
1,碎石 *,公噸,Aggregates *,tonne,83
2,瀝青,公噸,Bitumen,tonne,10258
3,混凝土磚，100毫米厚,平方米,"Concrete blocks, 100mm thick",square metre,107
4,柴油 ** - 工業用 (輕質),桶 (200公升),Diesel fuel ** - For industrial use (light),200-litre drum,3729
4,柴油 ** - 汽車用,100公升,Diesel fuel ** - For road use,100 litre,2506
5,玻璃 - 浮法玻璃片，6毫米厚,平方米,"Glass - Clear float glass, 6mm thick",square metre,177
5,玻璃 - 顏色玻璃片，6毫米厚,平方米,"Glass - Tinted glass, 6mm thick",square metre,284
6,釉面牆壁瓷磚 - 純色，200毫米 x 200毫米，包括純白,百件,"Glazed ceramic wall tiles - Colour tiles, 200mm x 200mm, include white",100 pieces,430
7,木工 - 雜木，50毫米 x 75毫米木條,立方米,"Woodwork - Sawn hardwood, 50mm x 75mm column",cubic metre,6955
8,均質地磚 - 防滑磚， 200毫米 x 200毫米,平方米,"Homogeneous floor tiles - Non-slip tile, 200mm x 200mm",square metre,262
9,鍍鋅軟鋼 - 鋼板,公噸,Galvanised mild steel - Steel plates,tonne,14309
9,鍍鋅軟鋼 - 扁鐵,公噸,Galvanised mild steel - Steel flats,tonne,10417
9,鍍鋅軟鋼 - 鋼管,公噸,Galvanised mild steel - Steel hollow sections,tonne,13388
10,金屬模板 - 鋼板，4毫米厚,公噸,"Metal formwork - Steel plate, 4mm thick",tonne,5775
11,紙皮石 - 非瓷面紙皮石，25毫米 x 25毫米,平方米,"Mosaic tiles - Unglazed tiles, 25mm x 25mm",square metre,216
11,紙皮石 - 釉面紙皮石，45毫米 x 45毫米,平方米,"Mosaic tiles - Glazed tiles, 45mm x 45mm",square metre,169
12,油漆 - 乳膠漆 ^,公升,Paint - Emulsion paint ^,litre,69
12,油漆 - 亞加力漆,公升,Paint - Acrylic paint,litre,66
13,波特蘭水泥 (普通),公噸,Portland cement (ordinary),tonne,892
14,砂 ^^,公噸,Sand ^^,tonne,252
15,鋼筋 - 高拉力鋼筋，10毫米至40毫米,公噸,"Steel reinforcement - High tensile steel bars, 10mm to 40mm",tonne,4999
16,木模板  - 夾板，模板，19毫米厚,平方米,"Timber formwork - Plywood, formwork, 19mm thick",square metre,84
17,硬膠喉管 - 32毫米直徑，4米長,件,"uPVC pipes - 32mm diameter pipes, 4m long",no.,60
18,鉛水喉管 - 100毫米直徑，6米長,件,"GMS pipes - 100mm diameter pipes, 6m long",no.,1230
19,銅喉 - 22毫米直徑，5.8米長,件,"Copper pipes - 22mm diameter pipes, 5.8m long",no.,364
20,紅筒 - 100毫米直徑，3米長,件,"Epoxy coated cast iron pipes - 100mm diameter pipes, 3m long",no.,640
附註：,,,,,
 本表所列的價格數據只作指標及參考用途。價格變動百分率與公營建築工程的材料成本指數變動百分率可能不一樣。價格變動百分率會受到用以計算該平均價格的材料組合及／或其品質的改變及／或優惠幅度所影響，而材料成本指數則為量度純粹價格變動而設。材料成本指數刊登於政府憲報及載於政府統計處網站(https://www.censtatd.gov.hk/tc/scode330.html)。,,,,,
 本表所列的批發價是指船邊價，或貨倉交貨價，或出廠價（即不包括送貨到買家的運輸成本）。,,,,,
 @ 本表所列的價格是公營建築工程的材料成本指數(2021年4月=100)中選定建築材料的平均批發價格；而有關材料成本指數(2003年4月=100)中的特選建築材料平均批發價格數據亦可供索取。,,,,,
 * 碎石的平均價格是根據本地及進口碎石的價格而編製的。進口碎石的價格是以到岸價計算（即貨物運抵香港的成本，包括保險費及運費等）。,,,,,
 ** 自2011年10月起的平均柴油價格已把油公司的主要優惠計算在內。因此，此後的平均價格不能與以前的直接比較。,,,,,
 ^ 數字包括低揮發性有機化合物油漆。,,,,,
 ^^ 數字不包括海砂及機製砂。,,,,,
有關本刊物的查詢，請聯絡政府統計處物價研究分析組（二）。,,,,,
查詢電話 : (852) 3903 7384 ,,,,,
圖文傳真 : (852) 2127 4698,,,,,
電子郵遞 : construction-cost@censtatd.gov.hk,,,,,
Notes:,,,,,
" Price data provided in this list are for indication and reference purposes only.  The percentage changes in the price level may be different from the percentage changes in the index numbers of the costs of materials used in public sector construction projects.  While changes in the price level may be affected by changes in the mix and/or quality of the materials and/or extent of discount used for calculating the average prices, the index numbers are intended for measuring pure price changes.  The index numbers are published in the government gazette and are available at the website of Census and Statistics Department (https://www.censtatd.gov.hk/en/scode330.html).",,,,,
" The wholesale price in this list refers to the along-side-ship price, or ex-godown price or ex-factory price (i.e. excluding transportation cost to purchasers' site).",,,,,
 @ The prices in this list are the average wholesale prices of selected building materials covered in the index numbers of the costs of materials used in public sector construction projects (Apr  2021 = 100).  The list of average wholesale price data of selected building materials covered in the costs of materials index numbers series (Apr 2003 = 100) are available upon request.,,,,,
" * Data for the local and imported aggregates are used to compile the average price of aggregates.  The price of imported aggregates is on c.i.f. basis (i.e. cost of goods on arrival in Hong Kong, including insurance and freight etc.).",,,,,
" ** For the average prices of diesel fuel since October 2011, major price concessions from oil companies had been incorporated in the compilation.  Thus, the average prices thereafter cannot be compared directly with those before.",,,,,
 ^ Figure includes low volatile organic compound paint.,,,,,
 ^^ Figure does not include marine sand and manufactured sand.,,,,,
"Enquiries about this publication can be directed to Price Research and Analytics Section (2), Census and Statistics Department.",,,,,
Tel. No. : (852) 3903 7384,,,,,
Fax No. : (852) 2127 4698,,,,,
E-mail : construction-cost@censtatd.gov.hk,,,,,
